video_id,user_id,followers,duration,views,likes,comments,shares,hashtag,upload_time,engagement,like_rate,comment_rate,share_rate,upload_date,upload_weekday,cluster,is_viral
vid_0,user_102,385996,15,2933,222,43,8,art,2025-08-13,0.09307875894988067,0.07569041936583702,0.014660756904193658,0.002727582679849983,2025-08-13,Wednesday,1,0
vid_1,user_270,323770,4,861,168,10,2,funny,2025-06-16,0.20905923344947736,0.1951219512195122,0.011614401858304297,0.0023228803716608595,2025-06-16,Monday,0,0
vid_2,user_106,306113,4,3657,258,50,15,funny,2025-10-23,0.0883237626469784,0.07054963084495489,0.013672409078479627,0.004101722723543888,2025-10-23,Thursday,1,0
vid_3,user_71,213225,4,1605,307,12,10,lifehack,2025-06-21,0.20498442367601247,0.1912772585669782,0.007476635514018692,0.006230529595015576,2025-06-21,Saturday,1,0
vid_4,user_188,3408,3,204,6,1,0,beauty,2025-06-13,0.03431372549019608,0.029411764705882353,0.004901960784313725,0.0,2025-06-13,Friday,0,0
vid_5,user_20,350729,16,7319,1080,102,57,fitness,2025-11-07,0.16928542150567016,0.14756114223254543,0.013936330099740402,0.007787949173384342,2025-11-07,Friday,1,0
vid_6,user_102,252607,28,7406,857,37,54,education,2025-08-05,0.12800432082095597,0.1157169862273832,0.004995949230353767,0.007291385363219011,2025-08-05,Tuesday,1,0
vid_7,user_121,207646,19,3250,344,29,5,pets,2025-07-18,0.1163076923076923,0.10584615384615384,0.008923076923076922,0.0015384615384615385,2025-07-18,Friday,1,0
vid_8,user_214,254538,24,1513,91,6,1,funny,2025-02-19,0.06477197620621282,0.06014540647719762,0.0039656311962987445,0.0006609385327164573,2025-02-19,Wednesday,0,0
vid_9,user_87,106032,8,577,84,0,5,travel,2025-11-26,0.15424610051993068,0.14558058925476602,0.0,0.008665511265164644,2025-11-26,Wednesday,0,0
vid_10,user_99,228179,16,4598,249,89,5,lifehack,2025-11-26,0.07459765115267508,0.05415397999130057,0.01935624184428012,0.001087429317094389,2025-11-26,Wednesday,1,0
vid_11,user_151,267892,7,625,74,5,1,music,2025-10-21,0.128,0.1184,0.008,0.0016,2025-10-21,Tuesday,0,0
vid_12,user_130,329003,11,2078,136,40,1,gaming,2025-10-07,0.08517805582290663,0.06544754571703561,0.019249278152069296,0.00048123195380173246,2025-10-07,Tuesday,0,0
vid_13,user_149,93129,10,615,118,2,3,food,2025-12-30,0.2,0.191869918699187,0.0032520325203252032,0.004878048780487805,2025-12-30,Tuesday,0,0
vid_14,user_257,55855,3,793,19,9,4,gaming,2025-02-28,0.0403530895334174,0.02395964691046658,0.011349306431273645,0.005044136191677175,2025-02-28,Friday,0,0
vid_15,user_293,162471,7,1005,56,4,9,art,2025-06-22,0.06865671641791045,0.05572139303482587,0.003980099502487562,0.008955223880597015,2025-06-22,Sunday,0,0
vid_16,user_191,207899,50,3730,237,59,33,pets,2025-06-03,0.08820375335120643,0.06353887399463808,0.01581769436997319,0.008847184986595175,2025-06-03,Tuesday,1,0
vid_17,user_276,443514,4,1347,127,21,5,dance,2025-08-10,0.11358574610244988,0.09428359317000742,0.015590200445434299,0.003711952487008166,2025-08-10,Sunday,0,0
vid_18,user_160,337227,3,1184,73,3,4,food,2025-08-07,0.06756756756756757,0.06165540540540541,0.002533783783783784,0.0033783783783783786,2025-08-07,Thursday,0,0
vid_19,user_21,238533,8,1356,147,24,4,gaming,2025-03-24,0.1290560471976401,0.1084070796460177,0.017699115044247787,0.0029498525073746312,2025-03-24,Monday,0,0
vid_20,user_252,360433,23,1542,273,7,3,gaming,2025-09-24,0.1835278858625162,0.17704280155642024,0.004539559014267186,0.0019455252918287938,2025-09-24,Wednesday,0,0
vid_21,user_235,392601,13,10412,1542,131,18,gaming,2025-05-08,0.1624087591240876,0.14809834805993086,0.012581636573184786,0.0017287744909719553,2025-05-08,Thursday,1,1
vid_22,user_48,44091,17,600,74,11,1,education,2025-07-05,0.14333333333333334,0.12333333333333334,0.018333333333333333,0.0016666666666666668,2025-07-05,Saturday,0,0
vid_23,user_58,294148,3,3707,133,65,5,education,2025-08-18,0.05476126247639601,0.03587806851901807,0.017534394388993794,0.001348799568384138,2025-08-18,Monday,1,0
vid_24,user_169,270196,14,4538,657,87,12,education,2025-09-29,0.16659321286910533,0.14477743499338916,0.019171441163508152,0.002644336712208021,2025-09-29,Monday,1,0
vid_25,user_187,331977,6,734,36,5,2,travel,2025-01-01,0.05858310626702997,0.04904632152588556,0.006811989100817439,0.0027247956403269754,2025-01-01,Wednesday,0,0
vid_26,user_270,107574,27,1994,322,5,19,gaming,2025-10-24,0.17352056168505517,0.16148445336008024,0.0025075225677031092,0.009528585757271816,2025-10-24,Friday,0,0
vid_27,user_189,218356,15,2944,191,13,17,food,2025-01-15,0.07506793478260869,0.06487771739130435,0.004415760869565217,0.00577445652173913,2025-01-15,Wednesday,1,0
